name,county,category,classification,capacity,website,email,phone,instagram,facebook,has_events_section,score,tier,enrichment_date,source
Upwaltham Barns,West Sussex,Barn Venue,DRY_HIRE,200,https://upwalthambarns-weddings.co.uk/,weddings@upwalthambarns.co.uk,01798 300242,instagram.com/upwalthambarns,facebook.com/upwalthambarns,True,90,CALL_NOW,2026-03-20,enriched
Lains Barn,Oxfordshire,Barn Venue,DRY_HIRE,200,https://lainsbarn.co.uk/,events@lainsbarn.co.uk,07771 511653,instagram.com/lainsbarn,facebook.com/lainsbarnoxfordshire,True,90,CALL_NOW,2026-03-20,enriched
Manor by the Lake,Gloucestershire,Country Estate,DRY_HIRE,180,https://www.manorbythelake.co.uk/,events@manorbythelake.co.uk,01242 245071,instagram.com/manorbythelake,facebook.com/ManorbytheLake.Cheltenham,True,90,CALL_NOW,2026-03-20,enriched
The Great Tythe Barn,Gloucestershire,Barn Venue,DRY_HIRE,200,https://www.gtb.co.uk/,events@gtb.co.uk,01666 502475,instagram.com/thegreattythebarn,facebook.com/profile.php,True,90,CALL_NOW,2026-03-20,enriched
Blackthorpe Barn,Suffolk,Barn Venue,DRY_HIRE,250,https://www.weddingsatblackthorpebarn.co.uk/,weddings@foragekitchen.co.uk,003591170715,instagram.com/blackthorpebarn.weddings,,True,90,CALL_NOW,2026-03-20,enriched
Notley Tythe Barn,Buckinghamshire,Barn Venue,DRY_HIRE,200,https://www.notleyfarm.co.uk/,weddings@notleyfarm.co.uk,01844 201226,instagram.com/notleytythebarn,facebook.com/people,True,90,CALL_NOW,2026-03-20,enriched
Tanner Warehouse,Greater London,Event Space,DRY_HIRE,250,https://www.tannerwarehouse.co.uk/,events@tannerwarehouse.co.uk,+442073570244,instagram.com/cammandhooper,facebook.com/cammandhooper,True,85,CALL_NOW,2026-03-20,enriched
Rackleys,Buckinghamshire,Barn Venue,DRY_HIRE,200,https://rackleys.co.uk/,hello@rackleys.co.uk,01494 412515,instagram.com/RackleysBarn,facebook.com/RackleysChilternHills,True,85,CALL_NOW,2026-03-20,enriched
Sheepdrove,Berkshire,Barn Venue,DRY_HIRE,200,https://sheepdrove.com/,farm@sheepdrove.com,001678291968,instagram.com/sheepdrove,facebook.com/Sheepdrove,True,85,CALL_NOW,2026-03-20,enriched
Primrose Hill Farm,Oxfordshire,Barn Venue,DRY_HIRE,200,https://primrose-hill-farm.com/,play@primrose-hill-farm.com,00950632381,instagram.com/primrosehillfarm,facebook.com/primrosehillfarmarlescote,True,85,CALL_NOW,2026-03-20,enriched
