venue_name,county,location,website,email,phone,contact_person,instagram,source_url,website_verified
Woodbury Park Hotel & Golf Club,Oxfordshire,"Devon, Exeter",https://www.theclubcompany.com/woodbury-park/private-hire?utm_source=guides_for_brides,,01395233382,,@woodbury_park,https://guidesforbrides.co.uk/wedding-venues/devon/woodbury-park-hotel-golf-club/104613,True
Weston Manor Hotel,Oxfordshire,Oxfordshire,https://www.themanorweston.com?utm_source=guides_for_brides,info@thewestonmanor.com,01869350621,,@westonmanorhotel,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/weston-manor-hotel/235,True
Hawkwell House Hotel,Oxfordshire,"Oxfordshire, Oxford",https://mercureoxfordhawkwellhouse.com/weddings/?utm_source=guides_for_brides,hb6p4-fo1@accor.com,01865749988,,@hitchedathawkwell,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/mercure-oxford-hawkwell-house-hotel/3,True
Worton Hall,Oxfordshire,"Oxfordshire, Witney",https://www.wortonhall.co.uk?utm_source=guides_for_brides,enquiries@wortonpark.co.uk,01865882644,,@wortonhall,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/worton-hall/114903,True
The Chilterns View,Oxfordshire,"Oxfordshire, Wallingford",https://thechilternsview.co.uk/?utm_source=guides_for_brides,info@thechilternsview.co.uk,01491 836353,,@thechilterns_view,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/the-chilterns-view/164268,True
Parkland Weddings,Oxfordshire,"Oxfordshire, Witney",https://cokethorpe-enterprises.co.uk/weddings/?utm_source=guides_for_brides,,01993892338,,@cokethorpe_enterprises,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/parkland-weddings/164774,True
Cold Harbour Barn,Oxfordshire,"Oxfordshire, Wantage",,,,,@coldharbourevents,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/cold-harbour-barn/92023,False
Blenheim Palace,Oxfordshire,"Oxfordshire, Woodstock",https://www.blenheimpalace.com/hospitality/weddings/?utm_source=guides_for_brides,,01993 810530,,@blenheimpalace,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/blenheim-palace/92874,True
Silver Pear Weddings at Friars Court,Oxfordshire,,,,01367810206,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/silver-pear-weddings-at-friars-court/88887,False
The Barn Didcot,Oxfordshire,,,,01235 210563,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/the-barn/151554,False
Laurel Farm Events,Oxfordshire,,,,07471636622,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/laurel-farm-events/153951,False
The Castle at Edgehill,Oxfordshire,,,,01295 670255,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/castle-at-edgehill/160146,False
The Vines Hotel,Oxfordshire,,,,01473 597897,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/the-vines-hotel/162043,False
Acorn Barn,Oxfordshire,,,,01865 891663,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/acorn-barn/159281,False
Foxcombe Hall,Oxfordshire,,,,07753 876253,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/foxcombe-hall/163354,False
Snells Hall,Oxfordshire,,,,01235833561,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/snells-hall/13486,False
The Barn at Stone Hill,Oxfordshire,,,,07888 754373,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/stonehill-barn/159441,False
Bicester Hotel Resort,Oxfordshire,,,,01869241204,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/bicester-hotel-resort-and-spa/1673,False
Dovecote Barn Events,Oxfordshire,,,,01295816566,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/dovecote-barn/119964,False
The Long Gallery,Oxfordshire,,,,07513 619034,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/the-abbey-buildings/164595,False
Cogges Manor Farm,Oxfordshire,,,,01993 670493,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/cogges-manor-farm/121987,False
Village Hall Aston,Oxfordshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/village-hall-aston-tirrold-and-aston-upthorpe/165419,False
The Theatre Chipping Norton,Oxfordshire,,,,,,,https://guidesforbrides.co.uk/wedding-venues/oxfordshire/the-theatre-chipping-norton/165508,False
Easthampstead Park,Berkshire,"Berkshire, Wokingham",https://www.eastpark.co.uk?utm_source=guides_for_brides,sales@eastpark.co.uk,01189747576,,@easthampsteadparkhotel,https://guidesforbrides.co.uk/wedding-venues/berkshire/easthampstead-park/78909,True
Trunkwell House,Berkshire,"Berkshire, Reading",https://trunkwell.com/weddings/?utm_source=guides_for_brides,info@trunkwell.com,01189883754,,@trunkwellhouse,https://guidesforbrides.co.uk/wedding-venues/berkshire/trunkwell-house-hotel/84177,True
The Old Mill,Berkshire,"Berkshire, Reading",https://www.theoldmillaldermaston.co.uk/weddings?utm_source=guides_for_brides,enquiries@theoldmillaldermaston.co.uk,01189712365,,@theoldmillaldermaston,https://guidesforbrides.co.uk/wedding-venues/berkshire/the-old-mill-aldermaston/10622,True
Highfield Park,Berkshire,"Hampshire, Hook",https://www.highfieldpark.com/weddings?utm_source=guides_for_brides,,01235 770078,,@highfieldparkweddings,https://guidesforbrides.co.uk/wedding-venues/hampshire/highfield-park/1868,False
The Coach House Barn at Dorney Court,Berkshire,"Berkshire, Windsor",https://dorneycourt.co.uk/weddings/?utm_source=guides_for_brides,events@dorneycourt.co.uk,01628604638,Your Wedding,@dorneycourt,https://guidesforbrides.co.uk/wedding-venues/berkshire/the-coach-house-barn-at-dorney-court/136133,True
