venue_name,website,email,phone,contact_name,contact_role,classification,county,score,source
Worton Hall,https://www.wortonhall.co.uk?utm_source=guides_for_brides,enquiries@wortonpark.co.uk,01865882644,,,DRY_HIRE,Oxfordshire,67,"hht_dryhire_leads_csv,enriched_leads_2026-03-18"
Hampshire Cricket (Utilita Bowl),https://www.ageasbowl.com,,,,,DRY_HIRE,Hampshire,62,enriched_leads_2026-03-20
The Chilterns View,https://thechilternsview.co.uk/?utm_source=guides_for_brides,info@thechilternsview.co.uk,01491 836353,,,DRY_HIRE,Oxfordshire,52,"hht_dryhire_leads_csv,enriched_leads_2026-03-18"
Talton Lodge,https://www.taltonlodge.co.uk,,,,,DRY_HIRE,Warwickshire,48,enriched_leads_2026-03-20
Farnborough International,https://www.farnboroughinternational.org,,,,,DRY_HIRE,Hampshire,48,enriched_leads_2026-03-20
Lakeside Country Club,https://lakesidecountryclub.co.uk,,,,,DRY_HIRE,Surrey,48,enriched_leads_2026-03-20
Easthampstead Park,https://www.eastpark.co.uk,sales@eastpark.co.uk,01189747576,,,DRY_HIRE,Berkshire,43,"enriched_leads_2026-03-20,hht_dryhire_leads_csv"
Hatfield House,https://www.hatfield-house.co.uk,,,,,DRY_HIRE,Hertfordshire,43,"enriched_leads_2026-03-20,enriched_venues,hht_dryhire_leads_csv"
Blenheim Palace,https://www.blenheimpalace.com,,01993 810530,,,DRY_HIRE,Oxfordshire,43,"enriched_leads_2026-03-20,hht_dryhire_leads_csv"
Gorse Hill,https://www.gorsehill.co.uk,,01483747444,,,DRY_HIRE,Surrey,19,"enriched_leads_2026-03-20,hht_dryhire_leads_csv"
Woodbury Park Hotel & Golf Club,https://www.theclubcompany.com/woodbury-park/private-hire?utm_source=guides_for_brides,info@theclubcompany.com,01395233382,,,DRY_HIRE,Oxfordshire,19,"hht_dryhire_leads_csv,enriched_leads_2026-03-18"
Weston Manor Hotel,https://www.themanorweston.com?utm_source=guides_for_brides,info@thewestonmanor.com,01869350621,,,DRY_HIRE,Oxfordshire,19,"hht_dryhire_leads_csv,enriched_leads_2026-03-18"
Hawkwell House Hotel,https://mercureoxfordhawkwellhouse.com/weddings/?utm_source=guides_for_brides,hb6p4-fo1@accor.com,01865749988,,,DRY_HIRE,Oxfordshire,19,"hht_dryhire_leads_csv,enriched_leads_2026-03-18"
